ano_sinistro,indicador,categoria,obitos
2015,Codigo IBGE,3522307,45
2015,Codigo IBGE,3522406,20
2015,Codigo IBGE,3522505,31
2015,Codigo IBGE,3522604,21
2015,Codigo IBGE,3522653,2
2015,Codigo IBGE,3522703,8
2015,Codigo IBGE,3522802,2
2015,Codigo IBGE,3523107,48
2015,Codigo IBGE,3523206,4
2015,Codigo IBGE,3523305,3
2015,Codigo IBGE,3523404,10
2015,Codigo IBGE,3523503,7
2015,Codigo IBGE,3523602,5
2015,Codigo IBGE,3523701,1
2015,Codigo IBGE,3523800,3
2015,Codigo IBGE,3523909,40
2015,Codigo IBGE,3524006,6
2015,Codigo IBGE,3524105,8
2015,Codigo IBGE,3524303,21
2015,Codigo IBGE,3524402,32
2015,Codigo IBGE,3524600,5
2015,Codigo IBGE,3524709,8
2015,Codigo IBGE,3524808,10
2015,Codigo IBGE,3525003,2
2015,Codigo IBGE,3525102,13
2015,Codigo IBGE,3525201,9
2015,Codigo IBGE,3525300,32
2015,Codigo IBGE,3525409,1
2015,Codigo IBGE,3525508,1
2015,Codigo IBGE,3525607,3
2015,Codigo IBGE,3525706,19
2015,Codigo IBGE,3525805,1
2015,Codigo IBGE,3525904,83
2015,Codigo IBGE,3526100,8
2015,Codigo IBGE,3526209,15
2015,Codigo IBGE,3526407,3
2015,Codigo IBGE,3526506,2
2015,Codigo IBGE,3526605,5
2015,Codigo IBGE,3526704,11
2015,Codigo IBGE,3526803,12
2015,Codigo IBGE,3526902,60
2015,Codigo IBGE,3527009,2
2015,Codigo IBGE,3527108,12
2015,Codigo IBGE,3527207,17
2015,Codigo IBGE,3527256,1
2015,Codigo IBGE,3527306,5
2015,Codigo IBGE,3527405,6
2015,Codigo IBGE,3527504,2
2015,Codigo IBGE,3527603,1
2015,Codigo IBGE,3527801,2
2015,Codigo IBGE,3528007,7
2015,Codigo IBGE,3528106,1
2015,Codigo IBGE,3528304,1
2015,Codigo IBGE,3528403,11
2015,Codigo IBGE,3528502,18
2015,Codigo IBGE,3528601,2
2015,Codigo IBGE,3528700,1
2015,Codigo IBGE,3528809,4
2015,Codigo IBGE,3528858,1
2015,Codigo IBGE,3528908,1
2015,Codigo IBGE,3529005,43
2015,Codigo IBGE,3529203,9
2015,Codigo IBGE,3529302,12
2015,Codigo IBGE,3529401,35
2015,Codigo IBGE,3529500,1
2015,Codigo IBGE,3529609,2
2015,Codigo IBGE,3529708,2
2015,Codigo IBGE,3529807,1
2015,Codigo IBGE,3529906,27
2015,Codigo IBGE,3530003,2
2015,Codigo IBGE,3530102,3
2015,Codigo IBGE,3530201,2
2015,Codigo IBGE,3530300,7
2015,Codigo IBGE,3530409,1
2015,Codigo IBGE,3530508,15
2015,Codigo IBGE,3530607,69
2015,Codigo IBGE,3530706,20
2015,Codigo IBGE,3530805,20
2015,Codigo IBGE,3531001,1
2015,Codigo IBGE,3531100,14
2015,Codigo IBGE,3531308,9
2015,Codigo IBGE,3531407,3
2015,Codigo IBGE,3531506,1
2015,Codigo IBGE,3531704,2
2015,Codigo IBGE,3531803,13
2015,Codigo IBGE,3531902,5
2015,Codigo IBGE,3532009,5
2015,Codigo IBGE,3532058,1
2015,Codigo IBGE,3532306,1
2015,Codigo IBGE,3532405,3
2015,Codigo IBGE,3532603,5
2015,Codigo IBGE,3532702,5
2015,Codigo IBGE,3532801,2
2015,Codigo IBGE,3533007,1
2015,Codigo IBGE,3533254,1
2015,Codigo IBGE,3533403,18
2015,Codigo IBGE,3533502,10
2015,Codigo IBGE,3533700,2
2015,Codigo IBGE,3533908,12
2015,Codigo IBGE,3534005,2
2015,Codigo IBGE,3534104,2
2015,Codigo IBGE,3534302,4
2015,Codigo IBGE,3534401,83
2015,Codigo IBGE,3534500,1
2015,Codigo IBGE,3534609,1
2015,Codigo IBGE,3534708,23
2015,Codigo IBGE,3534757,5
2015,Codigo IBGE,3534906,1
2015,Codigo IBGE,3535002,5
2015,Codigo IBGE,3535101,2
2015,Codigo IBGE,3535200,4
2015,Codigo IBGE,3535309,4
2015,Codigo IBGE,3535408,1
2015,Codigo IBGE,3535507,6
2015,Codigo IBGE,3535606,7
2015,Codigo IBGE,3535705,5
2015,Codigo IBGE,3535804,4
2015,Codigo IBGE,3536000,8
2015,Codigo IBGE,3536109,3
2015,Codigo IBGE,3536208,21
2015,Codigo IBGE,3536257,2
2015,Codigo IBGE,3536307,2
2015,Codigo IBGE,3536406,3
2015,Codigo IBGE,3536505,9
2015,Codigo IBGE,3536604,1
2015,Codigo IBGE,3536703,13
2015,Codigo IBGE,3536802,2
2015,Codigo IBGE,3537008,2
2015,Codigo IBGE,3537107,4
2015,Codigo IBGE,3537206,5
2015,Codigo IBGE,3537305,15
2015,Codigo IBGE,3537404,8
2015,Codigo IBGE,3537503,5
2015,Codigo IBGE,3537602,11
2015,Codigo IBGE,3537701,2
2015,Codigo IBGE,3537800,11
2015,Codigo IBGE,3537909,3
2015,Codigo IBGE,3538006,28
2015,Codigo IBGE,3538105,6
2015,Codigo IBGE,3538204,3
2015,Codigo IBGE,3538501,5
2015,Codigo IBGE,3538600,5
2015,Codigo IBGE,3538709,63
2015,Codigo IBGE,3538808,5
2015,Codigo IBGE,3538907,6
2015,Codigo IBGE,3539004,1
2015,Codigo IBGE,3539103,2
2015,Codigo IBGE,3539202,7
2015,Codigo IBGE,3539301,14
2015,Codigo IBGE,3539400,3
2015,Codigo IBGE,3539509,5
2015,Codigo IBGE,3539608,4
2015,Codigo IBGE,3539806,4
2015,Codigo IBGE,3539905,5
2015,Codigo IBGE,3540002,1
2015,Codigo IBGE,3540101,2
2015,Codigo IBGE,3540200,10
2015,Codigo IBGE,3540259,3
2015,Codigo IBGE,3540507,5
2015,Codigo IBGE,3540606,15
2015,Codigo IBGE,3540705,8
2015,Codigo IBGE,3540754,1
2015,Codigo IBGE,3540804,4
2015,Codigo IBGE,3540903,4
2015,Codigo IBGE,3541000,60
2015,Codigo IBGE,3541059,2
2015,Codigo IBGE,3541109,1
2015,Codigo IBGE,3541208,2
2015,Codigo IBGE,3541307,9
2015,Codigo IBGE,3541406,56
2015,Codigo IBGE,3541505,6
2015,Codigo IBGE,3541604,8
2015,Codigo IBGE,3541653,4
2015,Codigo IBGE,3541901,3
2015,Codigo IBGE,3542008,2
2015,Codigo IBGE,3542107,3
2015,Codigo IBGE,3542206,2
2015,Codigo IBGE,3542305,3
2015,Codigo IBGE,3542404,3
2015,Codigo IBGE,3542503,2
2015,Codigo IBGE,3542602,11
2015,Codigo IBGE,3542701,2
2015,Codigo IBGE,3542909,3
2015,Codigo IBGE,3543006,2
2015,Codigo IBGE,3543105,1
2015,Codigo IBGE,3543303,18
2015,Codigo IBGE,3543402,84
2015,Codigo IBGE,3543600,1
2015,Codigo IBGE,3543709,3
2015,Codigo IBGE,3543808,2
2015,Codigo IBGE,3543907,23
2015,Codigo IBGE,3544004,9
2015,Codigo IBGE,3544103,3
2015,Codigo IBGE,3544251,6
2015,Codigo IBGE,3544301,3
2015,Codigo IBGE,3544509,1
2015,Codigo IBGE,3544806,2
2015,Codigo IBGE,3544905,6
2015,Codigo IBGE,3545001,3
2015,Codigo IBGE,3545100,2
2015,Codigo IBGE,3545159,1
2015,Codigo IBGE,3545209,14
2015,Codigo IBGE,3545308,16
2015,Codigo IBGE,3545407,4
2015,Codigo IBGE,3545605,10
2015,Codigo IBGE,3545704,1
2015,Codigo IBGE,3545803,19
2015,Codigo IBGE,3546009,1
2015,Codigo IBGE,3546207,3
2015,Codigo IBGE,3546256,1
2015,Codigo IBGE,3546306,6
2015,Codigo IBGE,3546405,11
2015,Codigo IBGE,3546504,2
2015,Codigo IBGE,3546603,8
2015,Codigo IBGE,3546702,2
2015,Codigo IBGE,3546801,9
2015,Codigo IBGE,3547007,2
2015,Codigo IBGE,3547106,2
2015,Codigo IBGE,3547304,11
2015,Codigo IBGE,3547403,1
2015,Codigo IBGE,3547502,6
2015,Codigo IBGE,3547601,1
2015,Codigo IBGE,3547700,1
2015,Codigo IBGE,3547809,62
2015,Codigo IBGE,3548005,6
2015,Codigo IBGE,3548054,3
2015,Codigo IBGE,3548104,3
2015,Codigo IBGE,3548203,2
2015,Codigo IBGE,3548302,1
2015,Codigo IBGE,3548401,3
2015,Codigo IBGE,3548500,58
2015,Codigo IBGE,3548609,1
2015,Codigo IBGE,3548708,91
2015,Codigo IBGE,3548807,4
2015,Codigo IBGE,3548906,45
2015,Codigo IBGE,3549102,18
2015,Codigo IBGE,3549250,1
2015,Codigo IBGE,3549409,12
2015,Codigo IBGE,3549508,2
2015,Codigo IBGE,3549706,10
2015,Codigo IBGE,3549805,76
2015,Codigo IBGE,3549904,91
2015,Codigo IBGE,3549953,4
2015,Codigo IBGE,3550001,1
2015,Codigo IBGE,3550100,4
2015,Codigo IBGE,3550209,4
2015,Codigo IBGE,3550308,1100
2015,Codigo IBGE,3550407,3
2015,Codigo IBGE,3550506,3
2015,Codigo IBGE,3550605,14
2015,Codigo IBGE,3550704,18
2015,Codigo IBGE,3550902,2
2015,Codigo IBGE,3551009,39
2015,Codigo IBGE,3551108,2
2015,Codigo IBGE,3551207,2
2015,Codigo IBGE,3551405,2
2015,Codigo IBGE,3551603,3
2015,Codigo IBGE,3551702,20
2015,Codigo IBGE,3551801,6
2015,Codigo IBGE,3551900,2
2015,Codigo IBGE,3552106,11
2015,Codigo IBGE,3552205,97
2015,Codigo IBGE,3552304,3
2015,Codigo IBGE,3552403,36
2015,Codigo IBGE,3552502,25
2015,Codigo IBGE,3552551,2
2015,Codigo IBGE,3552601,3
2015,Codigo IBGE,3552700,7
2015,Codigo IBGE,3552809,26
2015,Codigo IBGE,3552908,1
2015,Codigo IBGE,3553005,8
2015,Codigo IBGE,3553203,4
2015,Codigo IBGE,3553302,5
2015,Codigo IBGE,3553401,9
2015,Codigo IBGE,3553500,1
2015,Codigo IBGE,3553609,1
2015,Codigo IBGE,3553708,11
2015,Codigo IBGE,3553807,10
2015,Codigo IBGE,3553856,6
2015,Codigo IBGE,3553955,2
2015,Codigo IBGE,3554003,14
2015,Codigo IBGE,3554102,50
2015,Codigo IBGE,3554201,1
2015,Codigo IBGE,3554300,1
2015,Codigo IBGE,3554409,2
2015,Codigo IBGE,3554508,9
2015,Codigo IBGE,3554607,1
2015,Codigo IBGE,3554706,3
2015,Codigo IBGE,3554755,2
2015,Codigo IBGE,3554805,7
2015,Codigo IBGE,3554904,2
2015,Codigo IBGE,3554953,3
2015,Codigo IBGE,3555000,6
2015,Codigo IBGE,3555109,2
2015,Codigo IBGE,3555208,2
2015,Codigo IBGE,3555356,5
2015,Codigo IBGE,3555406,22
2015,Codigo IBGE,3555505,1
2015,Codigo IBGE,3555604,4
2015,Codigo IBGE,3556008,3
2015,Codigo IBGE,3556107,3
2015,Codigo IBGE,3556206,13
2015,Codigo IBGE,3556305,4
2015,Codigo IBGE,3556354,5
2015,Codigo IBGE,3556404,7
2015,Codigo IBGE,3556453,6
2015,Codigo IBGE,3556503,11
2015,Codigo IBGE,3556701,7
2015,Codigo IBGE,3556800,1
2015,Codigo IBGE,3556909,1
2015,Codigo IBGE,3557006,5
2015,Codigo IBGE,3557105,15
2015,Codigo IBGE,3557154,1
2015,Codigo IBGE,3557204,3
2016,Codigo IBGE,3500105,2
2016,Codigo IBGE,3500204,2
2016,Codigo IBGE,3500303,7
2016,Codigo IBGE,3500402,1
2016,Codigo IBGE,3500501,2
2016,Codigo IBGE,3500550,1
2016,Codigo IBGE,3500600,1
2016,Codigo IBGE,3500709,6
2016,Codigo IBGE,3500758,2
2016,Codigo IBGE,3500808,2
2016,Codigo IBGE,3501004,4
2016,Codigo IBGE,3501103,1
2016,Codigo IBGE,3501152,2
2016,Codigo IBGE,3501301,8
2016,Codigo IBGE,3501608,26
2016,Codigo IBGE,3501707,3
2016,Codigo IBGE,3501905,23
2016,Codigo IBGE,3502101,12
2016,Codigo IBGE,3502200,6
2016,Codigo IBGE,3502309,1
2016,Codigo IBGE,3502507,6
2016,Codigo IBGE,3502606,1
2016,Codigo IBGE,3502705,5
2016,Codigo IBGE,3502754,6
2016,Codigo IBGE,3502804,30
2016,Codigo IBGE,3502903,8
2016,Codigo IBGE,3503158,1
2016,Codigo IBGE,3503208,40
2016,Codigo IBGE,3503307,17
2016,Codigo IBGE,3503406,4
2016,Codigo IBGE,3503604,5
2016,Codigo IBGE,3503703,4
2016,Codigo IBGE,3503802,5
2016,Codigo IBGE,3503901,13
2016,Codigo IBGE,3504008,16
2016,Codigo IBGE,3504107,28
2016,Codigo IBGE,3504206,2
2016,Codigo IBGE,3504404,1
2016,Codigo IBGE,3504503,22
2016,Codigo IBGE,3504602,5
2016,Codigo IBGE,3504800,4
2016,Codigo IBGE,3505005,2
2016,Codigo IBGE,3505104,2
2016,Codigo IBGE,3505203,2
2016,Codigo IBGE,3505302,6
2016,Codigo IBGE,3505351,4
2016,Codigo IBGE,3505401,6
2016,Codigo IBGE,3505500,30
2016,Codigo IBGE,3505609,1
2016,Codigo IBGE,3505708,35
2016,Codigo IBGE,3505807,1
2016,Codigo IBGE,3505906,13
2016,Codigo IBGE,3506003,53
2016,Codigo IBGE,3506102,16
2016,Codigo IBGE,3506300,2
2016,Codigo IBGE,3506359,37
2016,Codigo IBGE,3506409,2
2016,Codigo IBGE,3506508,20
2016,Codigo IBGE,3506607,7
2016,Codigo IBGE,3506706,2
2016,Codigo IBGE,3506805,2
2016,Codigo IBGE,3506904,1
2016,Codigo IBGE,3507001,9
2016,Codigo IBGE,3507100,5
2016,Codigo IBGE,3507209,1
2016,Codigo IBGE,3507407,7
2016,Codigo IBGE,3507456,1
2016,Codigo IBGE,3507506,32
2016,Codigo IBGE,3507605,29
2016,Codigo IBGE,3507803,1
2016,Codigo IBGE,3507902,8
2016,Codigo IBGE,3508009,4
2016,Codigo IBGE,3508108,3
2016,Codigo IBGE,3508207,1
2016,Codigo IBGE,3508405,6
2016,Codigo IBGE,3508504,19
2016,Codigo IBGE,3508603,6
2016,Codigo IBGE,3508702,1
2016,Codigo IBGE,3508801,4
2016,Codigo IBGE,3508900,1
2016,Codigo IBGE,3509007,10
2016,Codigo IBGE,3509205,9
2016,Codigo IBGE,3509254,9
2016,Codigo IBGE,3509304,3
2016,Codigo IBGE,3509403,4
2016,Codigo IBGE,3509452,2
2016,Codigo IBGE,3509502,164
2016,Codigo IBGE,3509601,12
2016,Codigo IBGE,3509700,3
2016,Codigo IBGE,3509809,1
2016,Codigo IBGE,3509957,1
2016,Codigo IBGE,3510005,3
2016,Codigo IBGE,3510104,1
2016,Codigo IBGE,3510153,1
2016,Codigo IBGE,3510203,9
2016,Codigo IBGE,3510302,6
2016,Codigo IBGE,3510401,14
2016,Codigo IBGE,3510500,18
2016,Codigo IBGE,3510609,34
2016,Codigo IBGE,3510708,1
2016,Codigo IBGE,3510807,5
2016,Codigo IBGE,3511003,4
2016,Codigo IBGE,3511102,28
2016,Codigo IBGE,3511201,4
2016,Codigo IBGE,3511300,3
2016,Codigo IBGE,3511409,3
2016,Codigo IBGE,3511508,8
2016,Codigo IBGE,3511607,6
2016,Codigo IBGE,3511706,1
2016,Codigo IBGE,3511904,2
2016,Codigo IBGE,3512001,1
2016,Codigo IBGE,3512100,5
2016,Codigo IBGE,3512209,3
2016,Codigo IBGE,3512308,4
2016,Codigo IBGE,3512407,8
2016,Codigo IBGE,3512506,2
2016,Codigo IBGE,3512605,1
2016,Codigo IBGE,3512704,2
2016,Codigo IBGE,3512803,3
2016,Codigo IBGE,3512902,4
2016,Codigo IBGE,3513009,22
2016,Codigo IBGE,3513108,5
2016,Codigo IBGE,3513207,2
2016,Codigo IBGE,3513306,2
2016,Codigo IBGE,3513405,9
2016,Codigo IBGE,3513504,24
2016,Codigo IBGE,3513603,6
2016,Codigo IBGE,3513702,7
2016,Codigo IBGE,3513801,27
2016,Codigo IBGE,3513900,3
2016,Codigo IBGE,3514106,1
2016,Codigo IBGE,3514304,1
2016,Codigo IBGE,3514403,5
2016,Codigo IBGE,3514502,5
2016,Codigo IBGE,3514601,2
2016,Codigo IBGE,3514700,2
2016,Codigo IBGE,3514809,2
2016,Codigo IBGE,3514908,2
2016,Codigo IBGE,3515004,25
2016,Codigo IBGE,3515103,11
2016,Codigo IBGE,3515152,3
2016,Codigo IBGE,3515186,3
2016,Codigo IBGE,3515194,1
2016,Codigo IBGE,3515202,1
2016,Codigo IBGE,3515301,3
2016,Codigo IBGE,3515350,3
2016,Codigo IBGE,3515400,10
2016,Codigo IBGE,3515509,6
2016,Codigo IBGE,3515608,1
2016,Codigo IBGE,3515707,8
2016,Codigo IBGE,3515806,3
2016,Codigo IBGE,3515905,3
2016,Codigo IBGE,3516002,2
2016,Codigo IBGE,3516200,43
2016,Codigo IBGE,3516309,8
2016,Codigo IBGE,3516408,28
2016,Codigo IBGE,3516606,2
2016,Codigo IBGE,3516705,4
2016,Codigo IBGE,3516804,2
2016,Codigo IBGE,3516853,6
2016,Codigo IBGE,3516903,1
2016,Codigo IBGE,3517000,1
2016,Codigo IBGE,3517109,1
2016,Codigo IBGE,3517208,1
2016,Codigo IBGE,3517307,2
2016,Codigo IBGE,3517406,5
2016,Codigo IBGE,3517505,2
2016,Codigo IBGE,3517604,4
2016,Codigo IBGE,3517703,3
2016,Codigo IBGE,3517802,1
2016,Codigo IBGE,3518008,1
2016,Codigo IBGE,3518107,1
2016,Codigo IBGE,3518206,3
2016,Codigo IBGE,3518404,22
2016,Codigo IBGE,3518503,2
2016,Codigo IBGE,3518602,7
